index,CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
3690,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2015-04-24,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13.0,,,2015-08-14,Cycle Inspection / Compliance Inspection
3691,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2015-04-24,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13.0,,,2015-08-14,Cycle Inspection / Compliance Inspection
3692,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2015-04-24,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,13.0,,,2015-08-14,Cycle Inspection / Compliance Inspection
3693,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2015-04-07,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,39.0,Z,2015-04-07,2015-08-14,Cycle Inspection / Re-inspection
3694,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2015-04-07,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,39.0,Z,2015-04-07,2015-08-14,Cycle Inspection / Re-inspection
3695,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2015-04-07,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,39.0,Z,2015-04-07,2015-08-14,Cycle Inspection / Re-inspection
3696,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2015-04-07,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,39.0,Z,2015-04-07,2015-08-14,Cycle Inspection / Re-inspection
3697,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2015-04-07,Violations were cited in the following area(s).,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,,,,2015-08-14,Administrative Miscellaneous / Re-inspection
3698,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2015-03-26,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,21.0,,,2015-08-14,Cycle Inspection / Initial Inspection
3699,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2015-03-26,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,21.0,,,2015-08-14,Cycle Inspection / Initial Inspection
3700,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2015-03-26,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,21.0,,,2015-08-14,Cycle Inspection / Initial Inspection
3701,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2015-03-26,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,21.0,,,2015-08-14,Cycle Inspection / Initial Inspection
3702,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2015-03-26,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,21.0,,,2015-08-14,Cycle Inspection / Initial Inspection
3703,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2015-03-26,No violations were recorded at the time of this inspection.,,,Not Applicable,,,,2015-08-14,Administrative Miscellaneous / Initial Inspection
3704,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2014-12-16,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,22.0,B,2014-12-16,2015-08-14,Cycle Inspection / Re-inspection
3705,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2014-12-16,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,22.0,B,2014-12-16,2015-08-14,Cycle Inspection / Re-inspection
3706,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2014-12-16,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,22.0,B,2014-12-16,2015-08-14,Cycle Inspection / Re-inspection
3707,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2014-12-16,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,22.0,B,2014-12-16,2015-08-14,Cycle Inspection / Re-inspection
3708,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2014-12-16,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,22.0,B,2014-12-16,2015-08-14,Cycle Inspection / Re-inspection
3709,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2014-12-16,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,,,2015-08-14,Smoke-Free Air Act / Re-inspection
3710,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2014-12-16,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,,,,2015-08-14,Trans Fat / Re-inspection
3711,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2014-11-26,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,5.0,,,2015-08-14,Cycle Inspection / Initial Inspection
3712,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2014-08-12,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,7.0,A,2014-08-12,2015-08-14,Cycle Inspection / Re-inspection
3713,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2014-07-07,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,21.0,,,2015-08-14,Cycle Inspection / Initial Inspection
3714,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2014-07-07,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,21.0,,,2015-08-14,Cycle Inspection / Initial Inspection
3715,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2014-07-07,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,21.0,,,2015-08-14,Cycle Inspection / Initial Inspection
3716,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2014-03-03,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,22.0,B,2014-03-03,2015-08-14,Cycle Inspection / Re-inspection
3717,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2014-03-03,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,22.0,B,2014-03-03,2015-08-14,Cycle Inspection / Re-inspection
3718,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2014-03-03,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,22.0,B,2014-03-03,2015-08-14,Cycle Inspection / Re-inspection
3719,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2014-03-03,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,22.0,B,2014-03-03,2015-08-14,Cycle Inspection / Re-inspection
3720,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2014-02-19,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,20.0,,,2015-08-14,Cycle Inspection / Initial Inspection
3721,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2014-02-19,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,20.0,,,2015-08-14,Cycle Inspection / Initial Inspection
3722,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2014-02-19,Violations were cited in the following area(s).,04O,Live animals other than fish in tank or service animal present in facility's food and/or non-food areas.,Critical,20.0,,,2015-08-14,Cycle Inspection / Initial Inspection
3723,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2014-02-19,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,20.0,,,2015-08-14,Cycle Inspection / Initial Inspection
3724,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2014-02-19,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,20.0,,,2015-08-14,Cycle Inspection / Initial Inspection
3725,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2014-02-19,No violations were recorded at the time of this inspection.,,,Not Applicable,,,,2015-08-14,Administrative Miscellaneous / Initial Inspection
3726,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2013-08-29,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,12.0,A,2013-08-29,2015-08-14,Cycle Inspection / Re-inspection
3727,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2013-08-29,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,A,2013-08-29,2015-08-14,Cycle Inspection / Re-inspection
3728,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2013-08-29,Violations were cited in the following area(s).,10J,''''Wash hands sign not posted at hand wash facility.,Not Critical,12.0,A,2013-08-29,2015-08-14,Cycle Inspection / Re-inspection
3729,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2013-08-13,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,22.0,,,2015-08-14,Cycle Inspection / Initial Inspection
3730,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2013-08-13,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,22.0,,,2015-08-14,Cycle Inspection / Initial Inspection
3731,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2013-08-13,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,22.0,,,2015-08-14,Cycle Inspection / Initial Inspection
3732,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2013-08-13,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,22.0,,,2015-08-14,Cycle Inspection / Initial Inspection
3733,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2012-08-29,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10.0,A,2012-08-29,2015-08-14,Cycle Inspection / Initial Inspection
3734,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2012-08-29,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10.0,A,2012-08-29,2015-08-14,Cycle Inspection / Initial Inspection
3735,40366748,MUNCH TIME DINER,BRONX,21,EAST  170 STREET                                  ,10452,7189927347,American ,2012-08-29,Violations were cited in the following area(s).,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,,,,2015-08-14,Administrative Miscellaneous / Initial Inspection
6180,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2015-02-19,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,13.0,A,2015-02-19,2015-08-14,Cycle Inspection / Initial Inspection
6181,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2015-02-19,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13.0,A,2015-02-19,2015-08-14,Cycle Inspection / Initial Inspection
6182,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2014-10-14,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13.0,A,2014-10-14,2015-08-14,Cycle Inspection / Re-inspection
6183,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2014-10-14,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13.0,A,2014-10-14,2015-08-14,Cycle Inspection / Re-inspection
6184,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2014-10-14,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,13.0,A,2014-10-14,2015-08-14,Cycle Inspection / Re-inspection
6185,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2014-10-14,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13.0,A,2014-10-14,2015-08-14,Cycle Inspection / Re-inspection
6186,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2014-09-10,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,30.0,,,2015-08-14,Cycle Inspection / Initial Inspection
6187,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2014-09-10,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,30.0,,,2015-08-14,Cycle Inspection / Initial Inspection
6188,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2014-09-10,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,30.0,,,2015-08-14,Cycle Inspection / Initial Inspection
6189,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2014-09-10,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,30.0,,,2015-08-14,Cycle Inspection / Initial Inspection
6190,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2014-09-10,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,30.0,,,2015-08-14,Cycle Inspection / Initial Inspection
6191,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2014-04-08,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,8.0,A,2014-04-08,2015-08-14,Cycle Inspection / Re-inspection
6192,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2014-03-12,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,28.0,,,2015-08-14,Cycle Inspection / Initial Inspection
6193,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2014-03-12,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,28.0,,,2015-08-14,Cycle Inspection / Initial Inspection
6194,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2014-03-12,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,28.0,,,2015-08-14,Cycle Inspection / Initial Inspection
6195,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2014-03-12,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,28.0,,,2015-08-14,Cycle Inspection / Initial Inspection
6196,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2014-03-12,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,28.0,,,2015-08-14,Cycle Inspection / Initial Inspection
6197,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2013-12-02,Violations were cited in the following area(s).,20F,Current letter grade card not posted.,Not Critical,,,,2015-08-14,Administrative Miscellaneous / Initial Inspection
6198,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2013-11-04,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,45.0,C,2013-11-04,2015-08-14,Cycle Inspection / Re-inspection
6199,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2013-11-04,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,45.0,C,2013-11-04,2015-08-14,Cycle Inspection / Re-inspection
6200,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2013-11-04,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,45.0,C,2013-11-04,2015-08-14,Cycle Inspection / Re-inspection
6201,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2013-11-04,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,45.0,C,2013-11-04,2015-08-14,Cycle Inspection / Re-inspection
6202,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2013-11-04,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,45.0,C,2013-11-04,2015-08-14,Cycle Inspection / Re-inspection
6203,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2013-11-04,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,45.0,C,2013-11-04,2015-08-14,Cycle Inspection / Re-inspection
6204,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2013-10-08,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,29.0,,,2015-08-14,Cycle Inspection / Initial Inspection
6205,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2013-10-08,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,29.0,,,2015-08-14,Cycle Inspection / Initial Inspection
6206,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2013-10-08,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,29.0,,,2015-08-14,Cycle Inspection / Initial Inspection
6207,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2013-10-08,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,29.0,,,2015-08-14,Cycle Inspection / Initial Inspection
6208,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2013-10-08,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,29.0,,,2015-08-14,Cycle Inspection / Initial Inspection
6209,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2013-05-23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10.0,A,2013-05-23,2015-08-14,Cycle Inspection / Re-inspection
6210,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2013-05-23,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,10.0,A,2013-05-23,2015-08-14,Cycle Inspection / Re-inspection
6211,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2013-04-16,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,19.0,,,2015-08-14,Cycle Inspection / Initial Inspection
6212,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2013-04-16,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,19.0,,,2015-08-14,Cycle Inspection / Initial Inspection
6213,40369601,BRONX GRILL,BRONX,2375,EAST TREMONT AVENUE                               ,10462,7188925200,American ,2013-04-16,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,19.0,,,2015-08-14,Cycle Inspection / Initial Inspection
